Treatment,Number_CDR3,Habs,H
Pre,5,2,0.861353116
Pre,3,1.5,0.94639463
Pre,2,0.811278124,0.811278124
Pre,18,3.829239932,0.918299473
Pre,8,2.845350937,0.948450312
Pre,15,3.234170297,0.827811841
Pre,14,3.266247897,0.857878492
Pre,7,2.75,0.979569765
Pre,18,3.2158842,0.771209122
Pre,1,0,0
Pre,19,1.420157618,0.334317762
Pre,1,0,0
Pre,2,1,1
Pre,41,3.522965364,0.65756998
Pre,21,4.192595005,0.954529147
Pre,18,3.880456373,0.930581814
Pre,5,2.251629167,0.9697239
Pre,17,3.914866304,0.957774164
Pre,4,1.921928095,0.960964047
Pre,40,4.284169052,0.805003182
Pre,1,0,0
Pre,6,2.184927072,0.845245172
Pre,3,1.5,0.94639463
Pre,1,0,0
Pre,3,1.5,0.94639463
Pre,9,2.641639673,0.833344534
Pre,6,2.5,0.967132018
Pre,1,0,0
Pre,3,1.584962501,1
Pre,1,0,0
Pre,2,0.309543429,0.309543429
Pre,82,4.073540196,0.640740366
Pre,22,4.220167681,0.94634654
Pre,51,5.54340934,0.977255584
Pre,5,1.78067213,0.766893744
Pre,51,4.312688939,0.760290119
Pre,9,3.084962501,0.973197315
Pre,94,5.944004724,0.906846312
Pre,27,4.650571945,0.978061404
Pre,27,4.416083001,0.928746053
Pre,19,3.884155095,0.91436473
Pre,16,1.482633664,0.370658416
Pre,4,2,1
Pre,36,4.764436804,0.921567876
Pre,3,1.584962501,1
Pre,4,2,1
Pre,12,3.058984089,0.853282033
Pre,27,4.288764974,0.901969809
Pre,6,2.521640636,0.975503759
Pre,26,4.46132014,0.949128253
Pre,7,1.340031794,0.477328956
Pre,6,2.125814584,0.822377339
Pre,4,1.921928095,0.960964047
Pre,11,3.39274741,0.980723941
Pre,8,2.706890596,0.902296865
Pre,28,4.427976439,0.921083738
Pre,27,4.261272899,0.896187953
Pre,11,3.39274741,0.980723941
Pre,18,4.121928095,0.988489743
Pre,3,1.584962501,1
Pre,17,2.736971922,0.669601665
Pre,25,3.678679296,0.792160469
Pre,7,2.725480557,0.970835763
Pre,9,2.192966422,0.691803882
Pre,20,3.217825979,0.744534825
Pre,1,0,0
Pre,2,1,1
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,2,0.353359335,0.353359335
Pre,1,0,0
Pre,7,2.480482024,0.883565524
Pre,1,0,0
Pre,2,1,1
Pre,3,1.5,0.94639463
Pre,34,4.914866304,0.966074143
Pre,15,3.561143141,0.911503165
Pre,26,4.571860874,0.972645358
Pre,6,2.5,0.967132018
Pre,19,3.599730147,0.847408562
Pre,8,2.872905595,0.957635198
Pre,27,3.561594588,0.749038665
Pre,4,1.918295834,0.959147917
Pre,23,3.690104945,0.815752051
Pre,7,2.499698143,0.890410444
Pre,12,2.189125722,0.610641177
Pre,6,1.473503789,0.570029077
Pre,8,1.911333446,0.637111149
Pre,2,0.918295834,0.918295834
Pre,4,1.918295834,0.959147917
Pre,1,0,0
Pre,1,0,0
On,39,4.378722938,0.828455954
On,30,4.82996615,0.984323179
On,19,3.1780586,0.748143322
On,31,3.224076847,0.650776967
On,7,2.024726036,0.721221966
On,63,5.367882214,0.898047654
On,7,2.646439345,0.942680715
On,40,4.769999633,0.896291635
On,25,3.761481199,0.809990888
On,63,4.920676827,0.823230113
On,1,0,0
On,59,4.738003348,0.805420847
On,8,2.947702779,0.982567593
On,1,0,0
On,14,2.808292007,0.73759659
On,31,2.953174837,0.596095643
On,9,2.780639062,0.877193959
On,41,3.632327563,0.677982698
On,27,3.907404573,0.821765935
On,14,3.614369446,0.949312454
On,8,0.655613136,0.218537712
On,3,1.5,0.94639463
On,12,1.779476045,0.49637229
On,14,3.381076012,0.888038042
On,1,0,0
On,15,3.450212065,0.883109465
On,7,1.606342988,0.572190917
On,1,0,0
On,3,1.584962501,1
On,12,3.368042423,0.939491674
On,6,2.584962501,1
On,5,2.128085279,0.916516443
On,20,4.101409766,0.948976863
On,2,0.721928095,0.721928095
On,1,0,0
On,2,1,1
On,1,0,0
On,1,0,0
On,11,3.263933429,0.94348835
On,2,1,1
On,3,1.584962501,1
On,11,3.041084981,0.879070702
On,1,0,0
On,1,0,0
On,39,5.028297762,0.951355744
On,5,2.246439345,0.967488765
On,14,3.702819531,0.972543828
On,2,1,1
On,8,2.617492461,0.872497487
On,4,2,1
On,3,1.584962501,1
On,13,2.180922825,0.589368559
On,4,1.842370993,0.921185497
On,2,0.811278124,0.811278124
On,8,1.945660305,0.648553435
On,10,3.056564762,0.920117677
On,1,0,0
On,29,1.754928171,0.361246405
On,3,1.378783493,0.86991553
On,10,3.251629167,0.978837914
On,19,3.936243413,0.926626785
On,4,1.356779649,0.678389825
On,40,5.019204689,0.94311772
On,1,0,0
On,19,4.142914673,0.975279041
On,2,0.918295834,0.918295834
On,9,3.169925001,1
On,2,1,1
On,30,4.289761366,0.87423212
On,3,1.521928095,0.960229718
On,4,1.921928095,0.960964047
On,14,3.395808029,0.8919074
On,29,4.192459216,0.86300445
On,8,1.497307293,0.499102431
On,1,0,0
On,1,0,0
On,1,0,0
On,1,0,0
On,1,0,0
On,22,2.507235831,0.562232151
On,2,0.918295834,0.918295834
On,16,3.361294354,0.840323588
On,14,3.074689613,0.807565797
On,8,2.845350937,0.948450312
On,4,2,1
On,8,2.842370993,0.947456998
On,11,3.373557262,0.975176744
On,7,2.43874392,0.868698112
On,6,2.521640636,0.975503759
On,15,3.720128777,0.952196814
On,2,1,1
On,3,1.448815636,0.914100892
On,6,1.884127347,0.728879953
On,2,0.918295834,0.918295834
On,4,1.918295834,0.959147917
On,2,0.918295834,0.918295834
On,7,2.732158891,0.973214633
On,9,3.027169118,0.954965533
On,7,2.641604168,0.94095839
On,27,4.663909766,0.98086648
On,5,1.770950594,0.762706907
On,55,5.271941498,0.911886089
On,24,4.286146588,0.934826967
On,17,3.838039817,0.938978522
On,31,4.782564078,0.965356191
On,7,2.080557653,0.741109589
On,1,0,0
On,13,3.700439718,1
On,31,4.231683082,0.854161365
On,9,2.733458593,0.862310178
On,28,3.534168925,0.735158727
On,3,1.459147917,0.920619836
On,5,2.321928095,1
On,1,0,0
On,1,0,0
On,2,0.918295834,0.918295834
On,1,0,0
On,1,0,0
On,6,2.125814584,0.822377339
On,3,1.584962501,1
On,2,1,1
On,3,1.298794941,0.819448372
On,2,0.811278124,0.811278124
On,9,2.69951385,0.851601804
On,4,2,1
On,26,3.78746917,0.805769119
On,7,1.923794941,0.685269584
On,7,2.2051099,0.785475995
On,12,2.731584151,0.761956129
On,9,2.422675468,0.764269018
On,10,2.595523092,0.781330305
On,2,1,1
On,5,2.155639062,0.928383212
On,18,3.276499208,0.785745357
On,18,2.81675037,0.675491854
On,14,3.384364143,0.888901669
On,3,1.5,0.94639463
On,5,2.046439345,0.881353453
On,5,2.321928095,1
On,9,3.121928095,0.984858662
On,1,0,0
On,7,2.75,0.979569765
On,3,1.095795255,0.69136983
On,1,0,0
On,21,4.038873586,0.919531354
On,1,0,0
On,7,2.017470457,0.718637477
On,9,3.006238929,0.948362793
On,9,3.039148672,0.958744661
On,2,0.764204507,0.764204507
On,5,0.822282284,0.354137704
On,5,2.235926351,0.962961065
On,14,2.114242991,0.555304938
On,1,0,0
On,7,2.725480557,0.970835763
On,1,0,0
On,1,0,0
On,3,1.5,0.94639463
On,5,2.321928095,1
On,8,1.736645486,0.578881829
On,4,1.846439345,0.923219672
On,6,2.5,0.967132018
On,3,1.584962501,1
On,5,2.251629167,0.9697239
On,2,1,1
On,1,0,0
On,1,0,0
On,78,4.966351398,0.790140587
On,4,2,1
On,2,1,1
On,1,0,0
On,6,1.616597796,0.625385396
On,13,3.664497779,0.990287117
On,5,1.299999306,0.559879226
On,1,0,0
On,21,3.346703706,0.761944865
On,2,1,1
On,3,1.584962501,1
On,1,0,0
On,13,3.700439718,1
On,6,1.966917187,0.760907435
On,17,3.572740495,0.874072899
On,6,2.521640636,0.975503759
On,1,0,0
On,11,3.272905595,0.946081887
On,26,4.488506136,0.954911967
On,13,3.386636567,0.915198416
On,14,3.616874606,0.949970434
On,3,0.816689088,0.515273445
On,17,3.91326969,0.957383551
On,7,1.51926192,0.541172015
On,48,5.344580706,0.956959103
On,19,3.876837563,0.912642118
On,7,1.878477513,0.669127191
On,18,2.444010695,0.586104233
On,5,2.128085279,0.916516443
On,2,1,1
On,6,2.5,0.967132018
On,13,1.541508624,0.416574446
On,4,1.425605199,0.7128026
On,28,4.695613059,0.976756061
On,5,2.321928095,1
On,1,0,0
On,30,3.83742819,0.782048859
On,1,0,0
On,13,3.572469459,0.965417553
On,14,2.702465148,0.709801215
On,23,4.03233134,0.891406237
On,17,3.183203358,0.778772427
On,1,0,0
On,47,3.320775537,0.597843625
On,22,2.555695847,0.57309901
On,2,1,1
On,14,2.533951923,0.665541294
On,19,3.565273428,0.839297144
On,4,1.921928095,0.960964047
On,21,4.219528282,0.960661053
On,13,3.625,0.97961331
On,18,4.106603137,0.984814628
On,14,3.75,0.984935756
On,26,4.415311532,0.939340104
On,1,0,0
On,19,4.142914673,0.975279041
On,2,0.918295834,0.918295834
On,19,3.670650745,0.864103903
On,51,4.783427425,0.843277282
On,2,0.543564443,0.543564443
On,4,1.921928095,0.960964047
On,4,2,1
On,4,1.617189573,0.808594786
On,2,1,1
On,3,1.584962501,1
On,8,2.653544297,0.884514766
On,1,0,0
On,13,3.572469459,0.965417553
On,7,2.594906618,0.924324387
On,1,0,0
On,14,3.46857663,0.911020039
On,5,2.251629167,0.9697239
On,1,0,0
On,20,1.480412454,0.342535188
On,11,3.060964047,0.884817041
On,16,2.471113245,0.617778311
On,11,3.378783493,0.976687464
On,21,3.157677019,0.718909112
On,10,3.321928095,1
On,3,1.148834854,0.724834092
On,15,3.408813257,0.872513108
On,3,1.5,0.94639463
On,1,0,0
On,2,1,1
On,1,0,0
On,26,3.764396196,0.800860435
On,4,1.75,0.875
On,2,0.811278124,0.811278124
On,1,0,0
On,6,2.321928095,0.898244402
On,1,0,0
On,3,0.865856617,0.546294702
On,2,1,1
On,2,0.371232327,0.371232327
On,4,2,1
On,1,0,0
On,4,1.79248125,0.896240625
On,7,2.663532755,0.94876951
On,1,0,0
On,1,0,0
On,2,0.918295834,0.918295834
On,1,0,0
On,1,0,0
On,4,0.826902109,0.413451055
On,3,1.521928095,0.960229718
On,14,3.45949116,0.908633745
On,13,3.121439835,0.84353214
On,16,2.923014275,0.730753569
On,1,0,0
On,33,4.64412534,0.920650772
On,1,0,0
On,1,0,0
On,2,1,1
On,22,4.250752013,0.953204887
On,30,3.866662211,0.788006607
On,5,1.78067213,0.766893744
On,6,2.405639062,0.930628224
